District,City,Name,Ratings,Desciption,Image,Link,
Ernakulam,Paravur,Muziris Children's Museum,4.3,"Muziris Children's Museum�in Vadakkekara, Ernakulam is one of the top Museums in Vadakkekara, Ernakulam",https://lh5.googleusercontent.com/p/AF1QipO9LpLWHJK1nG4k_IQs7FP18xKmgkccpzgwZdoc=w426-h240-k-no,https://goo.gl/maps/CGsvmEahq15rMM6o6,
Ernakulam,Perumbavoor,Iringole Kavu,4.7,"Iringole Kavu�is a forest temple dedicated to Goddess Durga, situated in Kunnathunad Taluk of Ernakulam district, 2.5 km from Perumbavoor.",https://lh5.googleusercontent.com/p/AF1QipMbOpXb5UpBhrsUVDn28cxUtOF4TXIwo4QYGWqm=w408-h252-k-no,https://goo.gl/maps/YCpdVBA8VFXse4db7,
Ernakulam,Varappuzha,Puthuvype Beach,4.4,"Puthuvype beach�is the nearest beach for Kochi City. Its 4Kms from city centre. Comparatively clean, less crowded with shalow waters.",https://lh5.googleusercontent.com/p/AF1QipOuXMIs_LdBRkoYKdz0KPOF8I6SDQdH3theF5_L=w408-h544-k-no,https://goo.gl/maps/ahXjjoJoGSbsAcu2A,
Idukki,Adimali,Dakshina Kailasam,4.5,Its little difficult to climb the mountain but the view is magnificent. ,https://lh5.googleusercontent.com/p/AF1QipOuo8OL9XXRhC7hpp1_PWMc_Kn0KLDTqMmAbsVF=w408-h306-k-no,https://goo.gl/maps/GwVqKv5tRhYWT9q79,
Idukki,Kattappana,Anchuruli Thuruthu Island,4.5,"Anchuruli Thuruthu Island�... Anchuruli, also spelled Anjuruli, is an emerging tourist destination and a catchment area of Idukki arch dam in Kanchiyar",https://lh5.googleusercontent.com/p/AF1QipNw66q_IopYfX5aEYHrKBoW7ng6dwG_V5Rfa_hb=w408-h544-k-no,https://goo.gl/maps/H27rE6QtMHbSNtRX8,
Idukki,Munnar,RAJAMALA HILLS�,4.4,Rajamala hill�station is situated near the famous hill station at Munnar in Idukki district.,https://lh5.googleusercontent.com/p/AF1QipPio6Um9AnPE6htSB8TYO1SgzJShz-JOD0CD0WL=w408-h305-k-no,https://goo.gl/maps/zbpc1EnFe5pTcMHp7,
Idukki,Thodupuzha,Chakki Para,4.4,Chakki Para�is a nice place to enjoy the scenic beauty of Vazhakulam located near Muvattupuzha in Ernakulam district.,https://lh5.googleusercontent.com/p/AF1QipO1Pf_kygET0QM8VcnwxBiW3cpA-5HPEROkmmQ=w408-h306-k-no,https://goo.gl/maps/PYPMgnEgGfiL6J9z8,
Kannur,Azhikode,Vellikkeel Eco Tourism Park,4.1,"Vellikkeel Eco Tourism Park�in , Kannur is a top player in the category in the Kannur.",https://lh5.googleusercontent.com/p/AF1QipM-E7mG9_C-_Dzgp2zqLMjJWopVxjIpq0cxwv_Y=w408-h306-k-no,https://goo.gl/maps/Js6gZmJsy8hfrMcT9,
Kannur,Payyanur,Valiyaparamba tourism,4.1,"Valiyaparamba�is a�tourist�place in kerala where�tourists�enjoy things like backwater adventures, Bekal hole aqua park, backwater cruise",https://lh5.googleusercontent.com/p/AF1QipMNI5aCwSzCD1UX0MTDRUthZePlKbm4bNnfwvdN=w520-h240-k-no,https://goo.gl/maps/RQ3cxVkfijXaiSLZ8,
Kannur,Thalassery,Dharmadom thuruth Island,4.4,Dharmadom Island�located near Thalassery in Kannur has turned into favourite for tourists seeking a secluded and tranquil atmosphere.,https://lh5.googleusercontent.com/p/AF1QipN0hvbRRM3R4ZRjO5HdK9CBAdW9lz13NkMOWHyK=w408-h883-k-no,https://goo.gl/maps/Z2vDg9638j7ww7hHA,
Kasaragod,Nileshwaram,Veeramala Kunnu,3.9,"Veeramala�Hills is a small mountain in the Kasargode district of Kerala state, south India. It is situated at Cheruvathur.",https://lh5.googleusercontent.com/p/AF1QipOUGI8Hcje-MoRSlG-BKRThzYqAPp-0O3Dt-_to=w408-h306-k-no,https://goo.gl/maps/SSiiZbUcr5kLXdkm8,
Kollam,Kottarakkara,Maruthimala Eco Tourism,4.4,The Muttara�Maruthimala eco-tourism�project which is being implemented to boost tourism in the district is nearing completion,https://lh5.googleusercontent.com/p/AF1QipMHF3rBGI1H5JH0b4FsBsiRvNJ24ykEC2GaqdeX=w426-h240-k-no,https://goo.gl/maps/EJTHhRx37Cynou6U6,
Kottayam,Pala,Illikkal Kallu,4.4,"Illikkal Kallu�is a monolith located on top of the Illickal Malaa in the Kottayam district of Kerala, India",https://lh5.googleusercontent.com/p/AF1QipOzk4vrvEsatcQpGt8gbkcZp8ED8CKc9ETN_MkC=w411-h240-k-no,https://g.page/illikkalkallu?share,
Kozhikode,Thamarassery,Thusharagiri Waterfalls,4.5,"Thusharagiri Falls is a waterfall located in Kozhikode district in the Indian state of Kerala, India. Two streams originating from the Western Ghats meet here to form the Chalippuzha River",https://www.keralatourism.org/images/destination/large/thusharagiri_waterfalls_kozhikode20131031122022_269_1.jpg,https://www.google.com/maps?q=Thusharagiri+Waterfalls&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwjsl4jmiaP5AhV6yKACHWOMBSwQ_AUoAnoECAEQAg,
Malapuram,Manjeri,Kottakkunnu,4.2,"Kottakkunnu is a tourist destination in the state of Kerala located at Malappuram. Stationed right at the heart of the city of Malappuram, Kottakkunnu attracts many domestic as well as international tourists.",https://www.keralatourism.org/images/destination/mobile/kottakkunnu_in_malappuram20131207102234_396_2.jpg,"https://www.google.com/maps/place/Kottakkunnu/@11.0481068,76.0809482,17z/data=!3m1!4b1!4m5!3m4!1s0x3ba64a9da462e99f:0xf2a4832c727ec524!8m2!3d11.0481068!4d76.0831369?hl=en",
Malapuram,Nilambur,Adyanpara Waterfalls,4.2,"Adyanpara Falls is a cascading waterfall in the Kurmbalangodu village of Nilambur taluk in Kerala, India. It is 14 kilometres from Nilambur town, and attracts tourists from various parts of Kerala. This is a seasonal waterfall. During Summer, water flow is low.",https://www.keralatourism.org/images/destination/mobile/adyanpara_waterfalls_malappuram20131119153239_38_1.jpg,https://www.google.com/maps?q=Adyanpara+Waterfalls&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwizx7T6iKP5AhUxT3wKHTCEAUwQ_AUoAnoECAEQAg,
Malapuram,Ponnani,Valiya Juma Masjid,4.7,"Ponnani Juma Masjid or Ponnani Valiya Jumath Palli located at Ponnani in Malappuram district is a mosque that deserves historical importance in Muslim mosques in Kerala. The Juma Masjid played an important role in the intellectual field of Ponnani, once referred to as the 'Little Mecca' of Malabar. At that time, the mosque was also the headquarters of those seeking knowledge in Ponnani.",http://www.tripnight.com/public/uploads/monuments/5034/jAsQaqG1Pd6M.jpg,"https://www.google.com/maps/place/Valiya+Juma+Masjid/@10.691147,75.8995456,12z/data=!4m9!1m2!2m1!1sPonnani+Juma+Masjid!3m5!1s0x3ba7bb17e475eb8d:0x796ba6c591a838f9!8m2!3d10.7787116!4d75.9234747!15sChNQb25uYW5pIEp1bWEgTWFzamlkWhUiE3Bvbm5hbmkganVtYSBtYXNqaWSSAQZtb3NxdWWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlkVWwyWmpoUlJSQUI?hl=en",
Palakkad,Pattambi,Palakkad Fort,4.3,"Palakkad Fort is an old fort situated in the heart of Palakkad town of Kerala state, southern India. It was recaptured and rebuilt grandly by Sultan Hyder Ali in 1766 A.D and remains one of the best-preserved forts in Kerala.",https://upload.wikimedia.org/wikipedia/commons/a/a6/Palakkad_Fort.JPG,https://www.google.com/maps?q=palakkad+fort&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwjrwtfqh6P5AhWWg2MGHVcxAcsQ_AUoAXoECAEQAQ,
Palakkad,Shoranur,Kuzhiyanamkunn View Point,4.1,Kuzhiyanamkunn View Point is a typical village viewpoint with surrounding hills and river Nila in the view. Watching the sunset here in the evening is a serene experience.,https://cdn.tripuntold.com/media/photos/location/2020/03/30/27b379eb-a6dd-40fb-bbd2-c9b226975d91.jpg,https://www.google.com/maps?q=Kuzhiyanamkunn+View+Point&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwi8ouKCh6P5AhVW_TgGHdrsA7AQ_AUoAXoECAEQAQ,
Palakkad,Vadakkencherry,Malampuzha Dam,4,"Malampuzha Dam is the second largest dam and reservoirs in Kerala, located near Palakkad, in the state of Kerala in South India, built post independence by the then Madras state.",https://cdn1.goibibo.com/voy_ing/t_fs/malampuzha-ii-malampuzha-dam-14927073553o.jpeg,"https://www.google.com/maps/place/Malampuzha+Dam,+Kerala+678651/@10.8305798,76.6793203,17z/data=!3m1!4b1!4m9!1m2!2m1!1smalampuzha+dam!3m5!1s0x3ba86fa964f83135:0x2949c58ea5e5d09a!8m2!3d10.8305746!4d76.683805!15sCg5tYWxhbXB1emhhIGRhbZIBA2RhbQ?hl=en",
Palakkad,Walayar,St. Andrew's Basilica Arthunkal,4.7,"The largest shrine of St Sebastian in the world, the church known as Arthunkal St. Andrew's Basilica and St. Sebastian's International Shrine in Arthunkal, Cherthala, Alappuzha district, Kerala, India, was constructed by waning just Portuguese missionaries in the 16th century.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/a0/ef/63/photo2jpg.jpg?w=1200&h=-1&s=1,https://www.google.com/maps?q=St.+Andrew%27s+Basilica+Arthunkal&bih=961&biw=1920&hl=en&sxsrf=ALiCzsZ1FmC2BarwUIqmoBOcR-_6jedAPw:1659267699026&uact=5&gs_lcp=Cgdnd3Mtd2l6EAMyCwguEIAEEMcBEK8BMgYIABAeEBY6BwgAEEcQsAM6CggAEEcQsAMQyQNKBQg8EgEzSgQIQRgASgQIRhgAUN8QWN8QYLQeaANwAXgAgAGeAYgBngGSAQMwLjGYAQCgAQKgAQHIAQjAAQE&um=1&ie=UTF-8&sa=X&ved=2ahUKEwii6KCJhqP5AhUDTWwGHdWZCa8Q_AUoAXoECCUQAw,
Pathanamthitta,Konni,Konni Eco-Tourism Centre,4.2,"Eco-village in striking, forested surrounds featuring hiking trails, native wildlife & boating.",https://www.ktexplorer.com/banner/post/1548329131-konni.jpg,"https://www.google.com/maps/place/Konni+Eco-Tourism+Centre/@9.2320923,76.8415925,17z/data=!3m1!4b1!4m5!3m4!1s0x3b066b40e461c33d:0xae43fbee0d88b27!8m2!3d9.2320923!4d76.8437812?hl=en",
Pathanamthitta,Pandalam,Mavara Para,4.4,MAVARA PARA is a place near kurampala village and about 3kms from Pandalam. It's a beautiful place to visit. ,https://i.ytimg.com/vi/Tivczx5N1o8/maxresdefault.jpg,"https://www.google.com/maps/place/Mavara+para/@9.2127901,76.6954792,17z/data=!3m1!4b1!4m5!3m4!1s0x3b061169a9aad217:0x809e9c31834fd3a3!8m2!3d9.2127901!4d76.6976679?hl=en",
Pathanamthitta,Ranni,Perunthenaruvi Waterfall,4.2,visit this place early morning or evening. ,https://pathanamthittatourism.com/uploads/destinations/567501ee44179-e950a339b6c158f8b369d11b2b392c9d-860x_.jpg,"https://www.google.com/maps/place/Perunthenaruvi+Water+Falls/@9.4127934,76.8735648,17z/data=!3m1!4b1!4m5!3m4!1s0x3b0646e149d72d2f:0xe52e159e8b9c109e!8m2!3d9.4127934!4d76.8757535?hl=en",
Thiruvanathapuram,Attingal,Sree Padmanabhaswamy Temple,4.7,"The Shree Padmanabhaswamy Temple is a Hindu temple located in Thiruvananthapuram, capital of the state Kerala, India. The name of the city of 'Thiruvananthapuram' in Tamil and Malayalam translates to ""The City of Lord Ananta"", referring to the main deity of the temple.","https://assets.gqindia.com/photos/5f0ec391532fa7831d9d6e81/3:2/w_1620,h_1080,c_limit/Everything-you-need-to-know-about-the-world's-richest-temple-Sree-Padmanabhaswamy-and-its-treasures-worth-Rs-1,00,000-crore.jpg","https://www.google.com/maps/place/Sree+Padmanabhaswamy+Temple/@8.4827779,76.9414019,17z/data=!3m1!4b1!4m5!3m4!1s0x3b05bb09b7e81d35:0x1d2fedb7213a1ef7!8m2!3d8.4827779!4d76.9435906?hl=en",
Thiruvanathapuram,Varkala,Varkala Beach,4.4,"Varkala Beach, also known as Papanasham Beach is a beach situated in Varkala Town of Varkala Municipality in Thiruvananthapuram district, Kerala, India. The beach skirts the Arabian Sea, part of the Indian Ocean","https://res.cloudinary.com/thrillophilia/image/upload/c_fill,f_auto,fl_progressive.strip_profile,g_auto,h_600,q_auto,w_auto/v1/filestore/tyhyy419pw0ghftgs9uedy6pyb56_1550046978_7453270882_117ac0ca1d_k.jpg.jpg","https://www.google.com/maps/place/Varkala+Beach/@8.7347923,76.6990221,16z/data=!3m1!4b1!4m5!3m4!1s0x3b05ef1c356e35d9:0x529a20f7e0453699!8m2!3d8.7355515!4d76.7031667?hl=en",
Thrissur,Chalakudy,Snow Storm,4.5,"The Snow Storm, Kerala's Only Snow Park is spread in 10,000 sqft. The minus 10 degree Celsius and the snow filled environment will take you to an exiting experience as if you are being taken into the valleys of Switzerland or Kashmir at the blink of an eye!",https://snowstorm.in/wp-content/uploads/2020/06/s1.jpg,"https://www.google.com/maps/place/Snow+Storm/@10.2946031,76.4749327,17z/data=!4m13!1m6!3m5!1s0x3b07ffc996367825:0x4458a2f960506f28!2sSnow+Storm!8m2!3d10.2948072!4d76.4772204!3m5!1s0x3b07ffc996367825:0x4458a2f960506f28!8m2!3d10.2948072!4d76.4772204!15sCgpzbm93IHN0b3JtWgwiCnNub3cgc3Rvcm2SAQp0aGVtZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50YTNOaFpFUkJFQUU?hl=en",
Thrissur,Guruvayur,Kodungallur Bhagavathi Temple,4.7,"Sree Kurumba Bhagavati Temple is a Hindu temple at Kodungallur, Thrissur District, Kerala state, India. It is dedicated to the goddess Bhadrakali, a form of Mahakali or simply Durga worshipped and significantly revered in Kerala.",https://www.muzirisheritage.org/images/Kodungallur-Bhagavathi-Temp-L.jpg,"https://www.google.com/maps/place/Kodungallur+Sree+Kurumba+Bhagavathy+Temple/@10.2304068,76.1923938,19.92z/data=!4m5!3m4!1s0x3b081bf47f4c042f:0x7e6f994f0db02349!8m2!3d10.2268551!4d76.1983452?hl=en",
Thrissur,Kodungallor,Pambummekkattu Mana,4.7,"Pambummekattu lllam also known as Pambummekattu Mana is located in Vadama village, Mukundapuram, Thrissur, Kerala. Pambummekkattu Mana is a most famous Serpent worship Place, The ancient naga temple which is famous for its history and myth that there is a five-headed snake inside the temple.",https://www.mala.co.in/sites/default/files/article/pambummekkattu-mana-vadama-mala-trissur.jpg,https://www.google.com/maps?q=Pambummekkattu+Mana&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwi30-2FgKP5AhUBgWMGHb0mCYkQ_AUoA3oECAEQAw,
Thrissur,Mala,Vadakkunnathan Temple,4.8,"Vadakkumnathan Temple is an ancient Hindu temple dedicated to Shiva at city of Thrissur, of Kerala state in India. This temple is a classical example of the architectural style of Kerala and has one monumental tower on each of the four sides in addition to a kuttambalam.",https://img.traveltriangle.com/blog/wp-content/uploads/2019/12/cover-image-of-Vadakkunnathan-Temple_5th-dec.jpg,"https://www.google.com/maps/place/Sri+Vadakkunnathan+Temple,+Thrissur/@10.5116853,76.2103519,14z/data=!4m9!1m2!2m1!1sVadakkunnathan+Temple!3m5!1s0x3ba7ee4f40583e69:0x2352a12f19c2777!8m2!3d10.524494!4d76.2145126!15sChVWYWRha2t1bm5hdGhhbiBUZW1wbGVaFyIVdmFkYWtrdW5uYXRoYW4gdGVtcGxlkgEMaGluZHVfdGVtcGxl?hl=en",
Thrissur,Thrissur,Guruvayur Temple,4.7,"Guruvayur Temple is a Hindu temple dedicated to the Lord Guruvayurappan, Under the Administration of Guruvayur Devaswom, located in the town of Guruvayur in Kerala, India. It is one of the most important places of worship for Hindus in Kerala and Tamilnadu and is often referred to as Bhuloka Vaikunta.",https://media-cdn.tripadvisor.com/media/photo-s/15/44/38/13/guruvayur-temple.jpg,"https://www.google.com/maps/place/Guruvayur+Temple/@10.5945515,76.03717,17z/data=!3m1!4b1!4m5!3m4!1s0x3ba79461d5c8d24b:0x6f7a8d815f48709e!8m2!3d10.5945515!4d76.0393587?hl=en",
Wayanad,Kalpetta,Karapuzha Dam,3.5,"Karapuzha Dam located in the Wayanad district of Kerala, is one of the biggest earth dams in India. Karapuzha Dam is located in the greenish and natural regions of Wayanad, Kerala on the Karapuzha River, a tributary of the Kabini River. Construction on the dam began in 1977 and it was complete in 2004.",https://upload.wikimedia.org/wikipedia/commons/9/95/Karappuzha_Dam.JPG,https://www.google.com/maps?q=Karapuzha+Dam&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwjlw5ewgaP5AhV5KbcAHT_PCo8Q_AUoAnoECAEQAg,
Wayanad,Mananthavady,Pazhassi Raja Tomb,4.2,"The Pazhassi Tomb is where thousands regularly pay homage to the famous Lion of Kerala, Kerala Varma Pazhassi Raja. The tomb was constructed in the place where his body was cremated, and is situated on the banks of River Kabani in Mananthavady.",https://www.keralatourism.org/images/thalassery/static-banner/large/-17032020173502.jpg,https://www.google.com/maps?q=Pazhassi+Raja+Tomb&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwjG0KrdgaP5AhWipukKHU0nC-kQ_AUoA3oECAEQAw,
Wayanad,Sultan Bathery,Edakkal Caves,4.1,"The Edakkal caves are two natural caves at a remote location at Edakkal, 25 km from Kalpetta in the Wayanad district of Kerala in India's Western Ghats. They lie 1,200 m above sea level on Ambukutty Mala, near an ancient trade route connecting the high mountains of Mysore to the ports of the Malabar coast.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/89/f3/67/entrance-path.jpg?w=1200&h=1200&s=1,https://www.google.com/maps?q=Edakkal+Caves&source=lmns&bih=961&biw=1920&hl=en&sa=X&ved=2ahUKEwigl72CgqP5AhXO_TgGHd36BS8Q_AUoAnoECAEQAg,
